temperatureMax,apparentTemperatureMin,windBearing,dewPoint,cloudCover,windSpeed,temperatureMin,apparentTemperatureMax,pressure,visibility,precipType,humidity,uvIndex,energy_sum,holiday_id,cluster2,cluster3,cluster4,cluster5,cluster6
11.46,3.67,283.0,4.28,0.47,9.49,7.34,11.46,1004.74,12.92,0,0.7,1.0,5409.0409999,0,1,2,0,0,3
9.18,1.64,274.0,3.39,0.45,3.93,4.4,6.13,1023.65,12.96,0,0.78,1.0,5380.4000012,0,1,2,0,0,3
10.34,4.72,274.0,4.47,0.6,5.65,7.6,10.34,1021.72,13.45,0,0.72,1.0,5412.5550028,0,1,2,3,0,3
9.62,5.52,275.0,4.46,0.73,3.56,8.12,8.09,1026.57,13.13,0,0.75,1.0,5666.3259983,0,1,2,3,4,3
12.33,5.51,256.0,7.61,0.68,4.05,7.74,12.33,1029.61,12.47,0,0.84,1.0,5290.8459993,0,1,2,3,4,3
11.29,7.25,246.0,7.92,0.72,3.76,9.16,11.29,1033.21,12.42,0,0.87,1.0,5137.7699968,0,1,2,3,4,3
11.19,4.79,248.0,6.53,0.53,3.98,7.1,11.19,1032.94,13.05,0,0.84,1.0,5139.9380006,0,1,2,3,4,3
12.4,2.86,265.0,5.51,0.46,4.35,5.08,12.4,1027.85,13.12,0,0.81,1.0,5232.661999800001,0,1,2,3,0,3
6.41,0.08,328.0,1.34,0.16,1.61,1.2,4.61,1032.84,11.83,0,0.83,1.0,5459.9219979,0,1,2,0,0,3
6.01,-1.79,86.0,-0.3,0.14,0.99,-1.79,5.77,1030.1,10.54,0,0.86,1.0,5924.8750006,0,1,2,0,0,3
6.27,-1.38,105.0,-0.41,0.32,3.03,1.16,2.97,1024.8,12.33,0,0.78,1.0,6162.3379973,0,1,2,0,0,3
6.56,-1.97,97.0,-1.64,0.23,2.45,0.83,4.18,1025.48,10.98,0,0.74,1.0,5832.3700005,0,1,2,0,0,3
5.79,-3.24,171.0,-0.09,0.34,1.43,-1.45,5.21,1027.71,10.61,0,0.83,1.0,5956.9149997,0,1,2,0,0,3
11.92,2.05,224.0,8.14,0.76,4.2,4.51,11.92,1023.93,6.28,0,0.93,1.0,5806.3010008,0,1,2,3,4,2
11.51,3.28,261.0,7.16,0.56,5.23,6.91,11.51,1018.64,11.33,0,0.85,1.0,5695.4889984,0,1,2,3,4,3
10.05,0.73,266.0,4.23,0.47,6.18,4.91,10.05,1019.26,12.99,0,0.78,1.0,6135.8529989,0,1,2,0,0,3
12.35,4.21,270.0,5.84,0.59,7.17,7.61,12.35,1012.5,13.36,0,0.75,1.0,6278.6479999,0,1,2,3,4,3
11.8,2.14,274.0,2.65,0.37,5.93,6.0,11.8,1014.29,13.15,0,0.68,1.0,6764.3539985,0,1,2,0,0,3
8.4,0.91,273.0,2.57,0.36,3.89,3.46,5.67,1018.88,13.04,0,0.78,1.0,6420.588997700001,0,1,2,0,0,3
9.77,-1.04,228.0,5.17,0.6,2.13,1.94,8.56,1019.33,7.92,0,0.95,1.0,6642.0819997,0,1,2,3,0,2
9.76,5.72,216.0,7.59,0.81,3.56,8.59,8.59,1015.27,10.38,0,0.9,1.0,6615.692002700001,0,1,2,3,4,2
9.54,-0.23,214.0,4.04,0.51,4.51,3.15,6.9,1009.15,12.71,0,0.8,1.0,6594.3049985,0,1,2,0,0,3
8.68,-0.42,239.0,1.44,0.25,3.33,2.93,6.15,1019.12,13.0,0,0.78,1.0,6809.7039997,0,1,2,0,0,3
6.46,1.08,359.0,2.25,0.57,2.56,3.27,4.04,1027.99,11.51,0,0.86,1.0,7405.8480011,0,1,2,0,0,3
4.5,-0.24,45.0,1.43,0.77,1.62,1.87,2.68,1030.78,6.73,0,0.89,1.0,7826.682997,0,1,2,0,0,2
3.98,0.03,28.0,-0.85,0.55,1.54,1.24,2.42,1026.05,9.29,0,0.79,1.0,7627.2719991,0,1,2,0,0,3
2.13,-2.95,45.0,-1.22,0.55,2.36,-0.54,1.13,1026.13,5.62,0,0.84,1.0,8070.3910008,0,1,2,0,0,2
3.36,-5.98,53.0,-4.69,0.36,5.45,-0.92,-1.86,1032.32,11.41,1,0.67,1.0,8150.8289979,1,1,0,2,1,5
1.41,-6.49,47.0,-7.84,0.29,4.71,-1.76,-3.78,1035.76,13.05,1,0.59,1.0,8736.229997100001,0,1,0,2,1,5
1.54,-5.77,348.0,-6.19,0.36,2.2,-2.19,-1.67,1039.19,12.89,1,0.67,1.0,9104.8389978,0,1,0,2,1,5
0.79,-5.9,163.0,-4.19,0.58,2.13,-3.27,-2.32,1036.05,8.64,1,0.8,1.0,9607.721994900001,0,1,0,2,1,5
1.81,-4.68,168.0,0.28,0.85,0.93,-0.12,1.81,1027.42,4.18,0,0.96,1.0,10106.111001000001,0,1,2,0,0,2
4.08,0.15,94.0,1.11,0.79,0.56,1.39,4.08,1033.06,3.28,0,0.92,1.0,9200.583,0,1,2,0,0,2
2.63,-7.99,66.0,-3.58,0.58,2.66,-2.83,1.92,1039.95,8.92,0,0.75,1.0,9259.8050038,0,1,2,0,0,3
0.73,-6.87,39.0,-3.72,0.89,3.92,-2.1,-3.19,1040.92,12.55,1,0.78,1.0,10242.814000100001,0,1,0,2,1,5
1.79,-3.7,50.0,-2.67,0.75,0.84,-0.96,1.79,1039.26,9.75,1,0.81,1.0,9808.0709993,0,1,0,2,1,5
1.21,-5.24,104.0,-3.39,0.47,2.13,-2.96,-0.54,1038.18,8.38,1,0.81,1.0,10166.6179966,0,1,0,2,1,5
1.93,-5.64,19.0,-5.69,0.04,0.92,-5.64,1.93,1036.81,6.98,1,0.78,1.0,10411.5740047,0,1,0,2,1,5
4.84,-6.26,307.0,-1.04,0.59,1.78,-4.46,2.73,1034.52,4.91,0,0.88,1.0,11115.044001,0,1,2,0,0,3
6.58,-1.33,304.0,2.69,0.65,3.23,1.09,3.42,1027.34,7.79,0,0.9,1.0,10128.259001100001,0,1,2,0,0,3
8.42,1.06,325.0,2.39,0.57,4.34,4.54,5.84,1024.57,12.73,0,0.76,1.0,9734.700997400001,0,1,2,0,0,3
10.61,3.46,317.0,4.01,0.59,5.39,6.93,10.61,1025.18,13.13,0,0.73,1.0,9464.2569981,0,1,2,3,0,3
10.61,3.44,284.0,3.44,0.51,3.42,5.47,10.61,1027.4,13.26,0,0.74,1.0,9230.9059987,0,1,2,0,0,3
11.83,4.96,251.0,6.82,0.59,3.64,7.13,11.83,1023.17,12.1,0,0.84,1.0,9157.1040005,0,1,2,3,4,3
10.76,-1.07,249.0,4.27,0.53,5.95,3.2,10.76,1012.6,12.92,0,0.79,1.0,9560.5260024,0,1,2,0,0,3
6.35,-1.92,304.0,-2.96,0.17,3.81,0.62,3.63,1024.14,13.1,0,0.64,1.0,10151.2169999,0,1,2,0,0,3
8.44,-4.67,224.0,-1.73,0.33,3.42,-1.9,5.37,1032.06,12.92,0,0.7,1.0,10032.9250027,0,1,2,0,0,3
11.65,2.74,237.0,4.36,0.66,4.83,5.72,11.65,1028.85,13.37,0,0.76,1.0,9669.3640023,0,1,2,3,0,3
10.47,3.94,222.0,6.12,0.78,6.68,7.48,10.47,1024.07,12.07,0,0.84,1.0,10049.214001100001,0,1,2,3,4,3
16.98,10.34,256.0,10.29,0.5,4.73,10.34,16.98,1022.96,12.38,0,0.84,1.0,9193.104002,0,0,1,3,4,3
14.43,7.01,258.0,8.44,0.6,4.35,9.55,14.43,1027.25,12.21,0,0.83,1.0,9249.6230013,0,1,2,3,4,3
12.11,5.93,310.0,3.28,0.51,2.18,6.97,12.11,1027.58,12.83,0,0.67,2.0,9503.8919978,0,1,2,3,0,3
12.67,1.82,260.0,3.37,0.28,1.43,3.26,12.67,1028.24,12.36,0,0.74,2.0,10017.5979984,0,1,2,0,0,3
11.15,3.69,247.0,6.44,0.67,3.68,6.27,11.15,1024.91,11.09,0,0.85,1.0,9988.8699955,0,1,2,3,4,3
13.86,8.12,257.0,8.89,0.66,2.71,9.73,13.86,1023.97,8.71,0,0.86,2.0,9578.6740002,0,1,2,3,4,2
12.74,8.36,228.0,8.31,0.54,2.47,9.61,12.74,1024.65,7.77,0,0.85,1.0,9708.5509957,0,1,2,3,4,2
15.11,6.16,289.0,6.67,0.11,1.03,6.49,15.11,1026.15,6.08,0,0.8,2.0,9558.598999400001,0,1,2,3,4,3
